linie,richtung,betriebsdatum,fahrzeug,kurs,seq_von,halt_diva_von,halt_punkt_diva_von,halt_kurz_von1,datum_von,soll_an_von,ist_an_von,soll_ab_von,ist_ab_von,seq_nach,halt_diva_nach,halt_punkt_diva_nach,halt_kurz_nach1,datum_nach,soll_an_nach,ist_an_nach1,soll_ab_nach,ist_ab_nach,fahrt_id,fahrweg_id,fw_no,fw_typ,fw_kurz,fw_lang                               ,umlauf_von,halt_id_von,halt_id_nach,halt_punkt_id_von,halt_punkt_id_nach
4    ,1       ,03.01.21     ,3001    ,7   ,4      ,2449         ,0                  ,SPOW          ,03.01.21 ,51870      ,51890     ,51882      ,51900     ,5       ,718           ,0                   ,TONA           ,03.01.21  ,51930       ,51945       ,51948       ,51959      ,637     ,138613    ,1    ,1     ,1      ,BALN - BTIE                           ,243994    ,2575       ,2630        ,43048            ,43701             
4    ,1       ,03.01.21     ,3001    ,7   ,4      ,2449         ,0                  ,SPOW          ,03.01.21 ,37470      ,37476     ,37482      ,37486     ,5       ,718           ,0                   ,TONA           ,03.01.21  ,37530       ,37536       ,37548       ,37547      ,631     ,138613    ,1    ,1     ,1      ,BALN - BTIE                           ,243994    ,2575       ,2630        ,43048            ,43701             
4    ,1       ,03.01.21     ,3038    ,3   ,4      ,2449         ,0                  ,SPOW          ,03.01.21 ,45270      ,45258     ,45282      ,45272     ,5       ,718           ,0                   ,TONA           ,03.01.21  ,45330       ,45320       ,45348       ,45330      ,542     ,138613    ,1    ,1     ,1      ,BALN - BTIE                           ,243234    ,2575       ,2630        ,43048            ,43701             
4    ,1       ,03.01.21     ,3025    ,1   ,4      ,2449         ,0                  ,SPOW          ,03.01.21 ,85620      ,85606     ,85632      ,85622     ,5       ,718           ,0                   ,TONA           ,03.01.21  ,85680       ,85674       ,85698       ,85686      ,507     ,138613    ,1    ,1     ,1      ,BALN - BTIE                           ,242264    ,2575       ,2630        ,43048            ,43701             
4    ,1       ,03.01.21     ,3025    ,1   ,4      ,2449         ,0                  ,SPOW          ,03.01.21 ,25320      ,25340     ,25332      ,25347     ,5       ,718           ,0                   ,TONA           ,03.01.21  ,25380       ,25398       ,25398       ,25409      ,481     ,138613    ,1    ,1     ,1      ,BALN - BTIE                           ,242264    ,2575       ,2630        ,43048            ,43701             
4    ,1       ,03.01.21     ,3001    ,7   ,4      ,2449         ,0                  ,SPOW          ,03.01.21 ,19020      ,18988     ,19032      ,18997     ,5       ,718           ,0                   ,TONA           ,03.01.21  ,19080       ,19044       ,19098       ,19056      ,623     ,138613    ,1    ,1     ,1      ,BALN - BTIE                           ,243994    ,2575       ,2630        ,43048            ,43701             
4    ,1       ,03.01.21     ,3025    ,1   ,4      ,2449         ,0                  ,SPOW          ,03.01.21 ,81570      ,81560     ,81582      ,81570     ,5       ,718           ,0                   ,TONA           ,03.01.21  ,81630       ,81618       ,81648       ,81627      ,505     ,138613    ,1    ,1     ,1      ,BALN - BTIE                           ,242264    ,2575       ,2630        ,43048            ,43701             
4    ,1       ,03.01.21     ,3001    ,7   ,4      ,2449         ,0                  ,SPOW          ,03.01.21 ,47070      ,47070     ,47082      ,47080     ,5       ,718           ,0                   ,TONA           ,03.01.21  ,47130       ,47127       ,47148       ,47138      ,635     ,138613    ,1    ,1     ,1      ,BALN - BTIE                           ,243994    ,2575       ,2630        ,43048            ,43701             
4    ,1       ,03.01.21     ,2043    ,2   ,4      ,2449         ,0                  ,SPOW          ,03.01.21 ,30720      ,30722     ,30732      ,30724     ,5       ,718           ,0                   ,TONA           ,03.01.21  ,30780       ,30772       ,30798       ,30807      ,517     ,138613    ,1    ,1     ,1      ,BALN - BTIE                           ,241201    ,2575       ,2630        ,43048            ,43701             
4    ,1       ,03.01.21     ,3025    ,1   ,4      ,2449         ,0                  ,SPOW          ,03.01.21 ,20820      ,20857     ,20832      ,20866     ,5       ,718           ,0                   ,TONA           ,03.01.21  ,20880       ,20914       ,20898       ,20923      ,479     ,138613    ,1    ,1     ,1      ,BALN - BTIE                           ,242264    ,2575       ,2630        ,43048            ,43701             
